station_id,legacy_id,name,lat,lon,capacity
1929883678185797908,23187,Lockwood Ave & Grand Ave,41.9175941,-87.7584143,15
a3aa35a4-a135-11e9-9cda-0a87ae2ba916,TA1309000023,Sheffield Ave & Wrightwood Ave,41.928712,-87.653833,31
a3a5f5e6-a135-11e9-9cda-0a87ae2ba916,13162,Halsted St & 21st St,41.85377981072743,-87.6466029882431,11
a3a75d8a-a135-11e9-9cda-0a87ae2ba916,TA1307000129,State St & 35th St,41.8310363140161,-87.62679755687714,15
a3af9a83-a135-11e9-9cda-0a87ae2ba916,KA1504000097,Drake Ave & Montrose Ave,41.96115407569,-87.7165690733,15
a3afbe2e-a135-11e9-9cda-0a87ae2ba916,KA1504000158,Oakley Ave & Irving Park Rd,41.95434085219,-87.6860796243,15
a3ac35ed-a135-11e9-9cda-0a87ae2ba916,KA1503000030,Jeffery Blvd & 67th St,41.77351755125,-87.5771428255,11
1981488728284770592,24324,Nagle Ave & Belmont Ave,41.93852,-87.78735,16
1992234898774407528,24283,Pulaski Rd & 60th Pl,41.78315,-87.72257,16
1929905600854819414,1524189,Lowell Ave & Armitage Ave,41.9170767,-87.7353543,15
a3a9f76a-a135-11e9-9cda-0a87ae2ba916,13292,Kedzie Ave & Palmer Ct,41.921525,-87.707322,15
a3b13836-a135-11e9-9cda-0a87ae2ba916,537,Kenton Ave & Madison St,41.88042,-87.74108,11
1991508150894459550,24417,State St & 111th St,41.69251,-87.62287,16
a3b48c07-a135-11e9-9cda-0a87ae2ba916,18058,Leavitt St & Chicago Ave,41.895501,-87.682017,19
a3b3915a-a135-11e9-9cda-0a87ae2ba916,631,Malcolm X College,41.877618,-87.673895,19
a3a83ba1-a135-11e9-9cda-0a87ae2ba916,TA1307000138,Wood St & Webster Ave,41.92105672992757,-87.67279744148254,19
a3ab86b6-a135-11e9-9cda-0a87ae2ba916,TA1309000064,Wolcott Ave & Polk St,41.871262,-87.673688,23
1929538112769137066,24158,Bernard St & Peterson Ave,41.9904393,-87.715236,15
2013067286975627866,24358,Loomis St & 95th St,41.72148,-87.65774,16
a3a528d0-a135-11e9-9cda-0a87ae2ba916,KA1503000021,Stony Island Ave & 64th St,41.778881,-87.586647,11
a3af5d1c-a135-11e9-9cda-0a87ae2ba916,RP-005,Western Ave & Lunt Ave,42.0085943972,-87.6904922389,15
a3a6c38e-a135-11e9-9cda-0a87ae2ba916,TA1307000006,Southport Ave & Wellington Ave,41.93577461766458,-87.66360014677048,19
a3a8999a-a135-11e9-9cda-0a87ae2ba916,TA1308000012,Montrose Harbor,41.963982,-87.638181,31
a3ac3b03-a135-11e9-9cda-0a87ae2ba916,RP-007,Clark St & Touhy Ave,42.01256011541,-87.6743671152,15
94788869-1849-43f6-99e1-2eacbc3fab03,chargingstx4,Morgan St & Lake St*,41.88549170626906,-87.65228927135468,20
1969236968943731106,24369,Menard Ave & Lawrence Ave,41.96788,-87.77274,16
a3afd294-a135-11e9-9cda-0a87ae2ba916,15631,Troy St & Elston Ave,41.94524356848,-87.7066499009,15
1850868044363584392,22003,University Ave & 59th St,41.787878,-87.598906,15
a3af2c5f-a135-11e9-9cda-0a87ae2ba916,15575,Broadway & Thorndale Ave,41.98974251144,-87.6601406209,19
a3ad4d1b-a135-11e9-9cda-0a87ae2ba916,KA1503000065,Woodlawn Ave & Lake Park Ave,41.81409271048,-87.5970051479,15
a3b477ac-a135-11e9-9cda-0a87ae2ba916,655,Hoyne Ave & Balmoral Ave,41.979851,-87.681932,15
1928792940289520096,21304,Lavergne Ave & Division St,41.9021077,-87.7508698,15
1850866657089146912,22004,Blackstone Ave & 59th St,41.787877,-87.590461,19
732c9f35-0c82-4128-acc3-2cf447298b1d,20208,Major Taylor Trail & 124th St,41.66869635332246,-87.63711333274841,15
1963672425916463636,24285,Kildare Ave & Archer Ave,41.80034,-87.73079,15
1867616662773391950,23190,Karlov Ave & Armitage Ave,41.91748,-87.728952,15
a3ad8072-a135-11e9-9cda-0a87ae2ba916,KA1503000071,University Ave & 57th St,41.791478,-87.599861,31
a3b2c87c-a135-11e9-9cda-0a87ae2ba916,16994,Kilbourn Ave & Milwaukee Ave,41.94707089418471,-87.74000823497772,15
a3aaa68b-a135-11e9-9cda-0a87ae2ba916,TA1309000041,Sheridan Rd & Lawrence Ave,41.969517,-87.654691,19
1955905507044284968,21378,Nordica Ave & Medill Ave,41.92227,-87.80202,15
1942117929887056608,21353,Meade Ave & Diversey Ave,41.93086,-87.77845,15
a3b22d3d-a135-11e9-9cda-0a87ae2ba916,561,Damen Ave & 59th St,41.785861065132,-87.67414391040802,11
a3a62566-a135-11e9-9cda-0a87ae2ba916,15529,Mies van der Rohe Way & Chestnut St,41.8985866514,-87.6219152258,19
a3ab9119-a135-11e9-9cda-0a87ae2ba916,TA1309000066,Ravenswood Ave & Lawrence Ave,41.968445,-87.674226,47
a3a9c5f7-a135-11e9-9cda-0a87ae2ba916,TA1309000003,Western Ave & 24th St,41.84847,-87.685109,7
1938034236347042306,21406,Kostner Ave & 63rd St,41.77875,-87.73246,15
a3a59ec3-a135-11e9-9cda-0a87ae2ba916,13073,Ashland Ave & Lake St,41.88592,-87.66717,19
a3b23cb8-a135-11e9-9cda-0a87ae2ba916,564,Racine Ave & 65th St,41.775393,-87.654308,11
a3a41004-a135-11e9-9cda-0a87ae2ba916,13124,Cannon Dr & Fullerton Ave,41.9267559875,-87.6344287848,15
1931696364106218226,21331,21st St & Pulaski Rd,41.85344207588209,-87.72462849736986,15
1871992980799203880,23129,Mozart St & 79th St,41.749702,-87.693917,15
a3b47cbc-a135-11e9-9cda-0a87ae2ba916,KA17018054,Damen Ave & Lake St,41.8849659,-87.6768354,16
1984107787514337392,24360,Princeton Ave & 95th St,41.72175,-87.63075,16
a3ad7636-a135-11e9-9cda-0a87ae2ba916,KA1503000073,MLK Jr Dr & 56th St,41.79342945658,-87.6158532619,11
1963673207600511026,24340,Wabash Ave & 49th St,41.80581,-87.6245,15
1978857650118994914,24409,Indiana Ave & 133rd St,41.6538,-87.61719,16
a3a80512-a135-11e9-9cda-0a87ae2ba916,13133,Damen Ave & Cortland St,41.915983,-87.677335,19
a3b24701-a135-11e9-9cda-0a87ae2ba916,16951,Damen Ave & 74th St,41.759274039331224,-87.67363429069519,11
a3a3a282-a135-11e9-9cda-0a87ae2ba916,TA1306000014,Wilton Ave & Diversey Pkwy,41.932418,-87.652705,35
a3b2905a-a135-11e9-9cda-0a87ae2ba916,580,Exchange Ave & 79th St,41.75211500633265,-87.55200700025293,11
da9e6779-5056-4d45-bae3-9dc325ed2807,20108,Hale Ave & 107th St,41.699206168127674,-87.66891896724701,11
a3b2d2b7-a135-11e9-9cda-0a87ae2ba916,593,Halsted St & 59th St,41.787539,-87.644874,11
a3a859c4-a135-11e9-9cda-0a87ae2ba916,TA1307000139,MLK Jr Dr & 29th St,41.842052,-87.617,19
1936552461714393094,21387,St Louis Ave & 59th St,41.78589,-87.71057,15
1929967657204564894,24159,Kedvale Ave & Peterson Ave,41.9900762,-87.7317073,15
a3b1d532-a135-11e9-9cda-0a87ae2ba916,16918,Austin Blvd & Madison St,41.880281,-87.774453,11
1882466626513795782,23110,Keeler Ave & Carmen Ave,41.974323,-87.7331,15
f0f9f5dc-3d3f-4a32-aa3e-b87566e44de9,20103,Prospect Sq & 91st St,41.7282338,-87.6675239,15
a3acdae2-a135-11e9-9cda-0a87ae2ba916,KA1503000025,Wentworth Ave & 63rd St,41.78007963264,-87.6297463052,11
a3afb401-a135-11e9-9cda-0a87ae2ba916,KA1504000139,Monticello Ave & Irving Park Rd,41.95400483876,-87.7191281797,15
a3a7f0ba-a135-11e9-9cda-0a87ae2ba916,13134,Damen Ave & Madison St,41.88137,-87.67493,15
a3a614ad-a135-11e9-9cda-0a87ae2ba916,KA1503000041,McClurg Ct & Erie St,41.894503,-87.617854,31
a3b20960-a135-11e9-9cda-0a87ae2ba916,554,Damen Ave & 51st St,41.800908,-87.674684,7
1862806445904101456,15541.1.1,Buckingham Fountain,41.876368,-87.6205586,39
a3b1fa1c-a135-11e9-9cda-0a87ae2ba916,KA1504000091,Hoyne Ave & 47th St,41.808227,-87.67718,11
a3addda0-a135-11e9-9cda-0a87ae2ba916,KA1504000086,Kedzie Ave & 24th St,41.848193,-87.705412,11
a3a72012-a135-11e9-9cda-0a87ae2ba916,KA1504000133,Rush St & Cedar St,41.90230870122,-87.627690528,11
e63300bd-4ca3-4255-adfd-522289d68b8a,20121,Loomis Blvd & 84th St,41.741486528618054,-87.65841007232666,15
1934290380966283526,21349,Spaulding Ave & 63rd,41.7791655,-87.7056392,15
1934289361049585738,21338,California Ave & 36th St,41.828098,-87.694684,15
a3a5a9d0-a135-11e9-9cda-0a87ae2ba916,13398,Blackstone Ave & Hyde Park Blvd,41.802562,-87.590368,19
1934289130932983934,21337,Hoyne Ave & 34th St,41.8320245,-87.6778387,15
a3a5d3bb-a135-11e9-9cda-0a87ae2ba916,13135,Blue Island Ave & 18th St,41.857556,-87.661535,15
a3ac7444-a135-11e9-9cda-0a87ae2ba916,KA1504000117,Halsted St & North Branch St,41.89939028549696,-87.64854490756989,15
2056421762206241370,25481,Hyacinth Ave & Milwaukee Ave,41.99282,-87.78377,12
a3a547b8-a135-11e9-9cda-0a87ae2ba916,15491,63rd St Beach,41.78091096424803,-87.57632374763489,15
2007796988006173238,24368,Melvina Ave & Giddings Ave,41.96648,-87.78202,16
a3b2d7d9-a135-11e9-9cda-0a87ae2ba916,594,Western Blvd & 48th Pl,41.805661,-87.683392,11
1963359453732131538,24266,Kedzie Ave & 54th Pl,41.793446,-87.70345,11
a3a52df5-a135-11e9-9cda-0a87ae2ba916,15535,Desplaines St & Randolph St,41.883703,-87.644238,23
a3b481e1-a135-11e9-9cda-0a87ae2ba916,657,Wood St & Augusta Blvd,41.899181,-87.6722,15
2021144286196005052,24477,Lynch Ave & Elston Ave,41.98096,-87.76149,16
a3a3ace6-a135-11e9-9cda-0a87ae2ba916,13164,Racine Ave & 18th St,41.8583996,-87.6564226,15
a3a79adb-a135-11e9-9cda-0a87ae2ba916,TA1307000120,Green St & Madison St,41.881859328038225,-87.64926373958588,27
a3aa0bb7-a135-11e9-9cda-0a87ae2ba916,13109,Broadway & Berwyn Ave,41.978361,-87.659789,15
a3ad95a7-a135-11e9-9cda-0a87ae2ba916,KA1503000054,Cottage Grove Ave & 63rd St,41.78053094070882,-87.6059702038765,15
1969221526359528022,24370,Milwaukee Ave & Ainslie St,41.96861,-87.76108,19
1975902497437067330,24230,Homan Ave & 26th St,41.84425,-87.70983,15
759171ce-f355-4740-948d-e14bb8f7dc0e,20214,Avenue O & 134th St,41.6519026853208,-87.53955539376464,15
a3b2be3a-a135-11e9-9cda-0a87ae2ba916,16991,Milwaukee Ave & Cuyler Ave,41.954468,-87.749594,11
a3a5de24-a135-11e9-9cda-0a87ae2ba916,TA1309000042,Lincoln Ave & Melrose St,41.9406,-87.669435,15
a3b11480-a135-11e9-9cda-0a87ae2ba916,530,Laramie Ave & Kinzie St,41.887832,-87.755527,11
a3b4399a-a135-11e9-9cda-0a87ae2ba916,643,Smith Park,41.892048,-87.689397,15
792ceba0-564f-4a2c-bcb5-90da781ffeef,20104,State St & 95th St,41.7218499,-87.6228544,15
a3ad2d57-a135-11e9-9cda-0a87ae2ba916,15449,State St & Pershing Rd,41.82301523798,-87.6265680185,11
a3a97a01-a135-11e9-9cda-0a87ae2ba916,TA1308000038,Cottage Grove Ave & Oakwood Blvd,41.822985,-87.6071,15
1799277526470631980,23002,Lincoln Ave & Byron St,41.952372,-87.677296,15
